,Images,Kills,Deaths
690,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10365.jpg,"['zarya', 0.9184232354164124]","['zarya', 0.9184232354164124]"
691,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10380.jpg,"['zarya', 0.9184181094169617]","['zarya', 0.9184181094169617]"
692,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10395.jpg,"['zarya', 0.9182151556015015]","['zarya', 0.9182151556015015]"
693,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10410.jpg,"['zarya', 0.9248902797698975]","['zarya', 0.9248902797698975]"
694,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10425.jpg,"['zarya', 0.9220805168151855]","['zarya', 0.9220805168151855]"
695,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10440.jpg,"['zarya', 0.9220805168151855]","['zarya', 0.9220805168151855]"
696,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10455.jpg,"['zarya', 0.9220805168151855]","['zarya', 0.9220805168151855]"
697,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10470.jpg,"['zarya', 0.9220805168151855]","['zarya', 0.9220805168151855]"
698,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10485.jpg,"['zarya', 0.9220805168151855]","['zarya', 0.9220805168151855]"
699,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10500.jpg,"['zarya', 0.9220805168151855]","['zarya', 0.9220805168151855]"
700,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10515.jpg,"['zarya', 0.9220805168151855]","['zarya', 0.9220805168151855]"
701,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10530.jpg,"['zarya', 0.9220805168151855]","['zarya', 0.9220805168151855]"
702,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10545.jpg,"['zarya', 0.9220805168151855]","['zarya', 0.9220805168151855]"
703,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10560.jpg,"['zarya', 0.922096848487854]","['zarya', 0.922096848487854]"
704,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10575.jpg,"['zarya', 0.9228912591934204]","['zarya', 0.9228912591934204]"
705,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10590.jpg,"['zarya', 0.9227489233016968]","['zarya', 0.9227489233016968]"
706,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10605.jpg,"['zarya', 0.9227691292762756]","['zarya', 0.9227691292762756]"
707,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10620.jpg,"['zarya', 0.9225643277168274]","['zarya', 0.9225643277168274]"
708,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10635.jpg,"['zarya', 0.9225643277168274]","['zarya', 0.9225643277168274]"
709,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10650.jpg,"['zarya', 0.9211503863334656]","['zarya', 0.9211503863334656]"
710,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10665.jpg,"['zarya', 0.9187368750572205]","['zarya', 0.9187368750572205]"
711,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10680.jpg,"['zarya', 0.9187719225883484]","['zarya', 0.9187719225883484]"
712,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10695.jpg,"['zarya', 0.9187719225883484]","['zarya', 0.9187719225883484]"
713,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10710.jpg,"['zarya', 0.9187719225883484]","['zarya', 0.9187719225883484]"
714,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10725.jpg,"['zarya', 0.9187719225883484]","['zarya', 0.9187719225883484]"
715,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10740.jpg,"['zarya', 0.9187719225883484]","['zarya', 0.9187719225883484]"
716,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10755.jpg,"['zarya', 0.995434582233429]","['genji', 0.9769112467765808]"
717,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10770.jpg,"['zarya', 0.9960339665412903]","['dva', 0.9999595880508423]"
718,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10785.jpg,"['zarya', 0.9960339665412903]","['dva', 0.9999595880508423]"
719,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10800.jpg,"['zarya', 0.9960339665412903]","['dva', 0.9999595880508423]"
720,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10815.jpg,"['zarya', 0.9103004336357117]","['zarya', 0.9103004336357117]"
721,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10830.jpg,"['reinhardt', 0.9996645450592041]","['zenyatta', 0.9935556054115295]"
722,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10845.jpg,"['reinhardt', 0.9996705055236816]","['zenyatta', 0.9935556054115295]"
723,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10860.jpg,"['reinhardt', 0.9996705055236816]","['zenyatta', 0.9935556054115295]"
724,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10875.jpg,"['reinhardt', 0.9996705055236816]","['zenyatta', 0.9935556054115295]"
725,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10890.jpg,"['reinhardt', 0.9996705055236816]","['zenyatta', 0.9935556054115295]"
726,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10905.jpg,"['zarya', 0.9162952899932861]","['zarya', 0.9162952899932861]"
727,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10920.jpg,"['reinhardt', 0.9997342228889465]","['baptiste', 0.9914503693580627]"
728,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10935.jpg,"['reinhardt', 0.9997300505638123]","['baptiste', 0.991241455078125]"
729,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10950.jpg,"['reinhardt', 0.9997300505638123]","['baptiste', 0.991241455078125]"
730,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10965.jpg,"['reinhardt', 0.9997300505638123]","['baptiste', 0.991241455078125]"
731,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10980.jpg,"['reinhardt', 0.9997300505638123]","['baptiste', 0.991241455078125]"
732,vod_data/01.04.2019+SF+vs+DAL+RIALTO/10995.jpg,"['reinhardt', 0.9997300505638123]","['baptiste', 0.991241455078125]"
733,vod_data/01.04.2019+SF+vs+DAL+RIALTO/11010.jpg,"['reinhardt', 0.9997300505638123]","['baptiste', 0.991241455078125]"
